,superficie_sembrada_ha_centeno_indefinido_Jujuy,superficie_sembrada_ha_centeno_Cochinoca_Jujuy,superficie_sembrada_ha_centeno_El Carmen_Jujuy,superficie_sembrada_ha_centeno_La Capital_Jujuy,superficie_sembrada_ha_centeno_Tumbaya_Jujuy,superficie_sembrada_ha_centeno_Yaví_Jujuy,superficie_sembrada_ha_centeno_Ledesma_Jujuy,superficie_sembrada_ha_centeno_Santa Bárbara_Jujuy,superficie_sembrada_ha_centeno_Valle Grande_Jujuy,superficie_sembrada_ha_centeno_San Antonio_Jujuy,superficie_sembrada_ha_centeno_San Pedro_Jujuy,superficie_sembrada_ha_centeno_Tilcara_Jujuy,superficie_sembrada_ha_centeno_Rinconada_Jujuy,superficie_cosechada_ha_centeno_indefinido_Jujuy,superficie_cosechada_ha_centeno_Cochinoca_Jujuy,superficie_cosechada_ha_centeno_El Carmen_Jujuy,superficie_cosechada_ha_centeno_La Capital_Jujuy,superficie_cosechada_ha_centeno_Tumbaya_Jujuy,superficie_cosechada_ha_centeno_Yaví_Jujuy,superficie_cosechada_ha_centeno_Ledesma_Jujuy,superficie_cosechada_ha_centeno_Santa Bárbara_Jujuy,superficie_cosechada_ha_centeno_Valle Grande_Jujuy,superficie_cosechada_ha_centeno_San Antonio_Jujuy,superficie_cosechada_ha_centeno_San Pedro_Jujuy,superficie_cosechada_ha_centeno_Tilcara_Jujuy,superficie_cosechada_ha_centeno_Rinconada_Jujuy,produccion_tm_centeno_indefinido_Jujuy,produccion_tm_centeno_Cochinoca_Jujuy,produccion_tm_centeno_El Carmen_Jujuy,produccion_tm_centeno_La Capital_Jujuy,produccion_tm_centeno_Tumbaya_Jujuy,produccion_tm_centeno_Yaví_Jujuy,produccion_tm_centeno_Ledesma_Jujuy,produccion_tm_centeno_Santa Bárbara_Jujuy,produccion_tm_centeno_Valle Grande_Jujuy,produccion_tm_centeno_San Antonio_Jujuy,produccion_tm_centeno_San Pedro_Jujuy,produccion_tm_centeno_Tilcara_Jujuy,produccion_tm_centeno_Rinconada_Jujuy,rendimiento_kgxha_centeno_indefinido_Jujuy,rendimiento_kgxha_centeno_Cochinoca_Jujuy,rendimiento_kgxha_centeno_El Carmen_Jujuy,rendimiento_kgxha_centeno_La Capital_Jujuy,rendimiento_kgxha_centeno_Tumbaya_Jujuy,rendimiento_kgxha_centeno_Yaví_Jujuy,rendimiento_kgxha_centeno_Ledesma_Jujuy,rendimiento_kgxha_centeno_Santa Bárbara_Jujuy,rendimiento_kgxha_centeno_Valle Grande_Jujuy,rendimiento_kgxha_centeno_San Antonio_Jujuy,rendimiento_kgxha_centeno_San Pedro_Jujuy,rendimiento_kgxha_centeno_Tilcara_Jujuy,rendimiento_kgxha_centeno_Rinconada_Jujuy
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-01-01,,,,,,,8.0,160.0,2.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,
1973-01-01,,,,,,3.0,10.0,157.0,,10.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,
1974-01-01,,,35.0,,10.0,,,300.0,,20.0,10.0,5.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,
1975-01-01,,,50.0,,16.0,,,25.0,,30.0,10.0,5.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,
1976-01-01,,,40.0,,15.0,,,300.0,,20.0,5.0,5.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,
1977-01-01,,,40.0,,,,,160.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,
1978-01-01,,,50.0,,,,,160.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,
1979-01-01,,,50.0,,,,,20.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,
1980-01-01,,,50.0,,,,15.0,15.0,,15.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1981-01-01,,,45.0,,,,15.0,15.0,,10.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1982-01-01,,,50.0,,,,15.0,15.0,,10.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1983-01-01,,,50.0,,,,15.0,15.0,,10.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1984-01-01,,,50.0,,,,15.0,10.0,,10.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,
1985-01-01,,,40.0,,,,,10.0,,10.0,,,15.0,,,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,,0.0,,,0.0
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
