,superficie_sembrada_ha_centeno_Concordia_Entre Ríos,superficie_sembrada_ha_centeno_Diamante_Entre Ríos,superficie_sembrada_ha_centeno_La Paz_Entre Ríos,superficie_sembrada_ha_centeno_Paraná_Entre Ríos,superficie_sembrada_ha_centeno_Victoria_Entre Ríos,superficie_sembrada_ha_centeno_Gualeguay_Entre Ríos,superficie_sembrada_ha_centeno_Gualeguaychú_Entre Ríos,superficie_sembrada_ha_centeno_Nogoyá_Entre Ríos,superficie_sembrada_ha_centeno_Tala_Entre Ríos,superficie_sembrada_ha_centeno_Villaguay_Entre Ríos,superficie_sembrada_ha_centeno_Feliciano_Entre Ríos,superficie_sembrada_ha_centeno_Uruguay_Entre Ríos,superficie_sembrada_ha_centeno_Colón_Entre Ríos,superficie_sembrada_ha_centeno_Federación_Entre Ríos,superficie_cosechada_ha_centeno_Concordia_Entre Ríos,superficie_cosechada_ha_centeno_Diamante_Entre Ríos,superficie_cosechada_ha_centeno_La Paz_Entre Ríos,superficie_cosechada_ha_centeno_Paraná_Entre Ríos,superficie_cosechada_ha_centeno_Victoria_Entre Ríos,superficie_cosechada_ha_centeno_Gualeguay_Entre Ríos,superficie_cosechada_ha_centeno_Gualeguaychú_Entre Ríos,superficie_cosechada_ha_centeno_Nogoyá_Entre Ríos,superficie_cosechada_ha_centeno_Tala_Entre Ríos,superficie_cosechada_ha_centeno_Villaguay_Entre Ríos,superficie_cosechada_ha_centeno_Feliciano_Entre Ríos,superficie_cosechada_ha_centeno_Uruguay_Entre Ríos,superficie_cosechada_ha_centeno_Colón_Entre Ríos,superficie_cosechada_ha_centeno_Federación_Entre Ríos,produccion_tm_centeno_Concordia_Entre Ríos,produccion_tm_centeno_Diamante_Entre Ríos,produccion_tm_centeno_La Paz_Entre Ríos,produccion_tm_centeno_Paraná_Entre Ríos,produccion_tm_centeno_Victoria_Entre Ríos,produccion_tm_centeno_Gualeguay_Entre Ríos,produccion_tm_centeno_Gualeguaychú_Entre Ríos,produccion_tm_centeno_Nogoyá_Entre Ríos,produccion_tm_centeno_Tala_Entre Ríos,produccion_tm_centeno_Villaguay_Entre Ríos,produccion_tm_centeno_Feliciano_Entre Ríos,produccion_tm_centeno_Uruguay_Entre Ríos,produccion_tm_centeno_Colón_Entre Ríos,produccion_tm_centeno_Federación_Entre Ríos,rendimiento_kgxha_centeno_Concordia_Entre Ríos,rendimiento_kgxha_centeno_Diamante_Entre Ríos,rendimiento_kgxha_centeno_La Paz_Entre Ríos,rendimiento_kgxha_centeno_Paraná_Entre Ríos,rendimiento_kgxha_centeno_Victoria_Entre Ríos,rendimiento_kgxha_centeno_Gualeguay_Entre Ríos,rendimiento_kgxha_centeno_Gualeguaychú_Entre Ríos,rendimiento_kgxha_centeno_Nogoyá_Entre Ríos,rendimiento_kgxha_centeno_Tala_Entre Ríos,rendimiento_kgxha_centeno_Villaguay_Entre Ríos,rendimiento_kgxha_centeno_Feliciano_Entre Ríos,rendimiento_kgxha_centeno_Uruguay_Entre Ríos,rendimiento_kgxha_centeno_Colón_Entre Ríos,rendimiento_kgxha_centeno_Federación_Entre Ríos
1947-01-01,20.0,1500.0,20.0,100.0,400.0,1530.0,,50.0,400.0,500.0,,500.0,80.0,,5.0,700.0,5.0,50.0,100.0,500.0,,20.0,150.0,100.0,,150.0,10.0,,2.0,490.0,3.0,30.0,90.0,300.0,,10.0,90.0,50.0,,90.0,6.0,,400.0,700.0,600.0,600.0,900.0,600.0,,500.0,600.0,500.0,,600.0,600.0,
1948-01-01,20.0,1500.0,30.0,100.0,420.0,1500.0,,,550.0,430.0,,450.0,100.0,,0.0,600.0,10.0,50.0,120.0,400.0,,,40.0,150.0,,100.0,10.0,,0.0,420.0,6.0,35.0,84.0,280.0,,,28.0,90.0,,80.0,7.0,,0.0,700.0,600.0,700.0,700.0,700.0,,,700.0,600.0,,800.0,700.0,
1949-01-01,,1000.0,10.0,200.0,400.0,400.0,,10.0,250.0,100.0,,200.0,,,,600.0,10.0,140.0,300.0,100.0,,10.0,40.0,70.0,,0.0,,,,420.0,3.0,91.0,150.0,54.0,,5.0,22.0,42.0,,0.0,,,,700.0,300.0,650.0,500.0,540.0,,500.0,550.0,600.0,,0.0,,
1950-01-01,,2000.0,300.0,300.0,1800.0,280.0,,250.0,180.0,50.0,,140.0,,,,1000.0,200.0,150.0,800.0,30.0,,100.0,20.0,10.0,,0.0,,,,650.0,120.0,105.0,600.0,12.0,,70.0,10.0,8.0,,0.0,,,,650.0,600.0,700.0,750.0,400.0,,700.0,500.0,800.0,,0.0,,
1951-01-01,,1500.0,200.0,220.0,1100.0,80.0,,150.0,100.0,,,80.0,,,,200.0,0.0,70.0,100.0,0.0,,0.0,40.0,,,10.0,,,,70.0,0.0,42.0,60.0,0.0,,0.0,22.0,,,6.0,,,,350.0,0.0,600.0,600.0,0.0,,0.0,550.0,,,600.0,,
1952-01-01,,1000.0,600.0,600.0,550.0,20.0,50.0,800.0,10.0,,,80.0,40.0,,,400.0,540.0,400.0,400.0,0.0,0.0,700.0,0.0,,,0.0,0.0,,,420.0,30.0,140.0,105.0,10.0,25.0,60.0,5.0,,,40.0,20.0,,,700.0,500.0,700.0,700.0,500.0,500.0,600.0,500.0,,,500.0,500.0,
1953-01-01,,1000.0,300.0,700.0,600.0,20.0,30.0,500.0,,,,40.0,30.0,,,400.0,100.0,200.0,100.0,20.0,30.0,150.0,,,,30.0,20.0,,,360.0,93.0,200.0,100.0,14.0,21.0,135.0,,,,21.0,14.0,,,900.0,930.0,1000.0,1000.0,700.0,700.0,900.0,,,,700.0,700.0,
1954-01-01,,900.0,300.0,700.0,1000.0,70.0,30.0,400.0,80.0,,,40.0,30.0,,,200.0,100.0,150.0,300.0,60.0,15.0,100.0,70.0,,,20.0,15.0,,,180.0,90.0,135.0,270.0,36.0,12.0,100.0,56.0,,,12.0,9.0,,,900.0,900.0,900.0,900.0,600.0,800.0,1000.0,800.0,,,600.0,600.0,
1955-01-01,,700.0,400.0,600.0,900.0,40.0,60.0,350.0,100.0,,,50.0,50.0,,,400.0,150.0,234.0,100.0,10.0,20.0,50.0,20.0,,,10.0,20.0,,,360.0,135.0,234.0,93.0,9.0,8.0,50.0,8.0,,,4.0,8.0,,,900.0,900.0,1000.0,930.0,900.0,400.0,1000.0,400.0,,,400.0,400.0,
1956-01-01,50.0,4450.0,500.0,2500.0,1000.0,1200.0,300.0,900.0,150.0,400.0,60.0,250.0,15.0,,0.0,450.0,100.0,500.0,200.0,200.0,80.0,200.0,10.0,50.0,0.0,0.0,0.0,,0.0,315.0,60.0,400.0,160.0,160.0,48.0,160.0,5.0,27.0,0.0,0.0,0.0,,0.0,700.0,600.0,800.0,800.0,800.0,600.0,800.0,500.0,540.0,0.0,0.0,0.0,
1957-01-01,,3000.0,400.0,1500.0,4500.0,1000.0,400.0,600.0,100.0,,,200.0,210.0,,,400.0,100.0,300.0,500.0,100.0,50.0,100.0,0.0,,,100.0,0.0,,,240.0,60.0,225.0,400.0,50.0,25.0,70.0,0.0,,,50.0,0.0,,,600.0,600.0,750.0,800.0,500.0,500.0,700.0,0.0,,,500.0,0.0,
1958-01-01,,3000.0,200.0,1000.0,5000.0,800.0,350.0,700.0,150.0,300.0,,150.0,100.0,,,300.0,40.0,200.0,400.0,100.0,0.0,100.0,30.0,50.0,,0.0,0.0,,,210.0,24.0,150.0,260.0,50.0,0.0,70.0,15.0,25.0,,0.0,0.0,,,700.0,600.0,750.0,650.0,500.0,0.0,700.0,500.0,500.0,,0.0,0.0,
1959-01-01,,2200.0,100.0,500.0,3500.0,,,300.0,,100.0,,,,,,200.0,0.0,100.0,300.0,,,50.0,,15.0,,,,,,130.0,0.0,55.0,195.0,,,30.0,,6.0,,,,,,650.0,0.0,550.0,650.0,,,600.0,,400.0,,,,
1960-01-01,,1800.0,80.0,430.0,3000.0,,,240.0,,350.0,,,,,,100.0,0.0,80.0,100.0,,,70.0,,50.0,,,,,,50.0,0.0,40.0,50.0,,,35.0,,25.0,,,,,,500.0,0.0,500.0,500.0,,,500.0,,500.0,,,,
1961-01-01,,1800.0,100.0,700.0,3500.0,,,600.0,,400.0,,,,,,0.0,10.0,70.0,100.0,,,100.0,,50.0,,,,,,0.0,5.0,42.0,65.0,,,58.0,,30.0,,,,,,0.0,500.0,600.0,650.0,,,580.0,,600.0,,,,
1962-01-01,,900.0,100.0,500.0,3300.0,,,300.0,,300.0,,,,,,100.0,10.0,30.0,200.0,,,50.0,,40.0,,,,,,65.0,6.0,21.0,130.0,,,35.0,,36.0,,,,,,650.0,600.0,700.0,650.0,,,700.0,,900.0,,,,
1963-01-01,,600.0,120.0,420.0,3500.0,,,280.0,,250.0,,,,,,50.0,20.0,70.0,300.0,,,60.0,,50.0,,,,,,30.0,12.0,46.0,210.0,,,39.0,,30.0,,,,,,600.0,600.0,650.0,700.0,,,650.0,,600.0,,,,
1964-01-01,,300.0,100.0,360.0,2700.0,,,300.0,,200.0,,,,,,30.0,0.0,50.0,200.0,,,0.0,,40.0,,,,,,21.0,0.0,35.0,180.0,,,0.0,,24.0,,,,,,700.0,0.0,700.0,900.0,,,0.0,,600.0,,,,
1965-01-01,,200.0,100.0,250.0,2000.0,300.0,,250.0,,100.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,
1966-01-01,,100.0,110.0,350.0,2000.0,800.0,200.0,300.0,30.0,100.0,,210.0,100.0,,,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,,30.0,0.0,,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,,18.0,0.0,,,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,,600.0,0.0,
1967-01-01,,150.0,100.0,500.0,2000.0,1000.0,,400.0,50.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,
1968-01-01,,,,100.0,500.0,,,100.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,
1969-01-01,,,,,300.0,,,150.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,
1970-01-01,,,50.0,100.0,400.0,,,200.0,,,,,,,,,0.0,0.0,90.0,,,30.0,,,,,,,,,0.0,0.0,50.0,,,20.0,,,,,,,,,0.0,0.0,556.0,,,667.0,,,,,,
1971-01-01,,50.0,100.0,100.0,350.0,,,150.0,,,,,,,,5.0,0.0,9.0,28.0,,,18.0,,,,,,,,4.0,0.0,7.0,24.0,,,15.0,,,,,,,,800.0,0.0,778.0,857.0,,,833.0,,,,,,
1972-01-01,,100.0,100.0,150.0,440.0,,,200.0,,,,,,,,0.0,20.0,40.0,40.0,,,30.0,,,,,,,,0.0,12.0,22.0,28.0,,,18.0,,,,,,,,0.0,600.0,550.0,700.0,,,600.0,,,,,,
1973-01-01,,70.0,50.0,130.0,300.0,,,150.0,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,
1974-01-01,,50.0,,100.0,150.0,,,80.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,
1975-01-01,,40.0,,120.0,110.0,,,60.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,
1976-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
