,superficie_sembrada_ha_centeno_2 de Abril_Chaco,superficie_sembrada_ha_centeno_Campo del Cielo_Chaco,superficie_sembrada_ha_centeno_Resistencia_Chaco,superficie_sembrada_ha_centeno_Tobas_Chaco,superficie_sembrada_ha_centeno_9 de Julio_Chaco,superficie_sembrada_ha_centeno_12 de Octubre_Chaco,superficie_sembrada_ha_centeno_Chacabuco_Chaco,superficie_sembrada_ha_centeno_Fray Justo Santa María de Oro_Chaco,superficie_sembrada_ha_centeno_Independencia_Chaco,superficie_sembrada_ha_centeno_Libertador General San Martín_Chaco,superficie_sembrada_ha_centeno_Mayor Luis J. Fontana_Chaco,superficie_sembrada_ha_centeno_Quitilipi_Chaco,superficie_sembrada_ha_centeno_San Lorenzo_Chaco,superficie_sembrada_ha_centeno_Almirante Brown_Chaco,superficie_sembrada_ha_centeno_General Belgrano_Chaco,superficie_sembrada_ha_centeno_otros departamentos_Chaco,superficie_sembrada_ha_centeno_Maipú_Chaco,superficie_cosechada_ha_centeno_2 de Abril_Chaco,superficie_cosechada_ha_centeno_Campo del Cielo_Chaco,superficie_cosechada_ha_centeno_Resistencia_Chaco,superficie_cosechada_ha_centeno_Tobas_Chaco,superficie_cosechada_ha_centeno_9 de Julio_Chaco,superficie_cosechada_ha_centeno_12 de Octubre_Chaco,superficie_cosechada_ha_centeno_Chacabuco_Chaco,superficie_cosechada_ha_centeno_Fray Justo Santa María de Oro_Chaco,superficie_cosechada_ha_centeno_Independencia_Chaco,superficie_cosechada_ha_centeno_Libertador General San Martín_Chaco,superficie_cosechada_ha_centeno_Mayor Luis J. Fontana_Chaco,superficie_cosechada_ha_centeno_Quitilipi_Chaco,superficie_cosechada_ha_centeno_San Lorenzo_Chaco,superficie_cosechada_ha_centeno_Almirante Brown_Chaco,superficie_cosechada_ha_centeno_General Belgrano_Chaco,superficie_cosechada_ha_centeno_otros departamentos_Chaco,superficie_cosechada_ha_centeno_Maipú_Chaco,produccion_tm_centeno_2 de Abril_Chaco,produccion_tm_centeno_Campo del Cielo_Chaco,produccion_tm_centeno_Resistencia_Chaco,produccion_tm_centeno_Tobas_Chaco,produccion_tm_centeno_9 de Julio_Chaco,produccion_tm_centeno_12 de Octubre_Chaco,produccion_tm_centeno_Chacabuco_Chaco,produccion_tm_centeno_Fray Justo Santa María de Oro_Chaco,produccion_tm_centeno_Independencia_Chaco,produccion_tm_centeno_Libertador General San Martín_Chaco,produccion_tm_centeno_Mayor Luis J. Fontana_Chaco,produccion_tm_centeno_Quitilipi_Chaco,produccion_tm_centeno_San Lorenzo_Chaco,produccion_tm_centeno_Almirante Brown_Chaco,produccion_tm_centeno_General Belgrano_Chaco,produccion_tm_centeno_otros departamentos_Chaco,produccion_tm_centeno_Maipú_Chaco,rendimiento_kgxha_centeno_2 de Abril_Chaco,rendimiento_kgxha_centeno_Campo del Cielo_Chaco,rendimiento_kgxha_centeno_Resistencia_Chaco,rendimiento_kgxha_centeno_Tobas_Chaco,rendimiento_kgxha_centeno_9 de Julio_Chaco,rendimiento_kgxha_centeno_12 de Octubre_Chaco,rendimiento_kgxha_centeno_Chacabuco_Chaco,rendimiento_kgxha_centeno_Fray Justo Santa María de Oro_Chaco,rendimiento_kgxha_centeno_Independencia_Chaco,rendimiento_kgxha_centeno_Libertador General San Martín_Chaco,rendimiento_kgxha_centeno_Mayor Luis J. Fontana_Chaco,rendimiento_kgxha_centeno_Quitilipi_Chaco,rendimiento_kgxha_centeno_San Lorenzo_Chaco,rendimiento_kgxha_centeno_Almirante Brown_Chaco,rendimiento_kgxha_centeno_General Belgrano_Chaco,rendimiento_kgxha_centeno_otros departamentos_Chaco,rendimiento_kgxha_centeno_Maipú_Chaco
1945-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-01-01,,,,,,500.0,200.0,200.0,50.0,400.0,100.0,150.0,100.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1974-01-01,,,,,,350.0,250.0,100.0,50.0,300.0,50.0,100.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1975-01-01,,,,,,250.0,200.0,100.0,,250.0,,100.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,
1976-01-01,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,
1977-01-01,,,,,,120.0,90.0,,,180.0,,30.0,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,
1978-01-01,,,,,,100.0,50.0,,,120.0,,30.0,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,
1979-01-01,,,,,,200.0,200.0,100.0,,250.0,,,,50.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,
1980-01-01,,,,,,200.0,150.0,100.0,,150.0,,,,100.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,
1981-01-01,,,,,,,50.0,,100.0,,,,,100.0,50.0,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,
1982-01-01,,,,,,,100.0,,350.0,,,,,300.0,100.0,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,0.0,,
1983-01-01,,,,,55.0,200.0,200.0,,50.0,,100.0,,,250.0,100.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,
1984-01-01,,,,,50.0,220.0,210.0,,40.0,,110.0,,,260.0,110.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,
1985-01-01,,,,,80.0,330.0,315.0,,60.0,,160.0,,,390.0,165.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,
1986-01-01,,,,,,190.0,235.0,,20.0,,80.0,,,175.0,100.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,
1987-01-01,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,
1988-01-01,,,,,30.0,110.0,155.0,,50.0,,80.0,,,120.0,105.0,,50.0,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0
1989-01-01,,,,,15.0,40.0,60.0,,10.0,,20.0,,,50.0,35.0,,5.0,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
