,superficie_sembrada_ha_centeno_indefinido_Neuquén,superficie_sembrada_ha_centeno_Aluminé_Neuquén,superficie_sembrada_ha_centeno_Chos Malal_Neuquén,superficie_sembrada_ha_centeno_Collón Curá_Neuquén,superficie_sembrada_ha_centeno_Confluencia_Neuquén,superficie_sembrada_ha_centeno_Huiliches_Neuquén,superficie_sembrada_ha_centeno_Las Minas_Neuquén,superficie_sembrada_ha_centeno_Los Lagos_Neuquén,superficie_sembrada_ha_centeno_Lácar_Neuquén,superficie_sembrada_ha_centeno_Pehuenches_Neuquén,superficie_sembrada_ha_centeno_Zapala_Neuquén,superficie_sembrada_ha_centeno_Picunches_Neuquén,superficie_sembrada_ha_centeno_Picún Leufú_Neuquén,superficie_sembrada_ha_centeno_Minas_Neuquén,superficie_sembrada_ha_centeno_otros departamentos_Neuquén,superficie_sembrada_ha_centeno_Ñorquín_Neuquén,superficie_cosechada_ha_centeno_indefinido_Neuquén,superficie_cosechada_ha_centeno_Aluminé_Neuquén,superficie_cosechada_ha_centeno_Chos Malal_Neuquén,superficie_cosechada_ha_centeno_Collón Curá_Neuquén,superficie_cosechada_ha_centeno_Confluencia_Neuquén,superficie_cosechada_ha_centeno_Huiliches_Neuquén,superficie_cosechada_ha_centeno_Las Minas_Neuquén,superficie_cosechada_ha_centeno_Los Lagos_Neuquén,superficie_cosechada_ha_centeno_Lácar_Neuquén,superficie_cosechada_ha_centeno_Pehuenches_Neuquén,superficie_cosechada_ha_centeno_Zapala_Neuquén,superficie_cosechada_ha_centeno_Picunches_Neuquén,superficie_cosechada_ha_centeno_Picún Leufú_Neuquén,superficie_cosechada_ha_centeno_Minas_Neuquén,superficie_cosechada_ha_centeno_otros departamentos_Neuquén,superficie_cosechada_ha_centeno_Ñorquín_Neuquén,produccion_tm_centeno_indefinido_Neuquén,produccion_tm_centeno_Aluminé_Neuquén,produccion_tm_centeno_Chos Malal_Neuquén,produccion_tm_centeno_Collón Curá_Neuquén,produccion_tm_centeno_Confluencia_Neuquén,produccion_tm_centeno_Huiliches_Neuquén,produccion_tm_centeno_Las Minas_Neuquén,produccion_tm_centeno_Los Lagos_Neuquén,produccion_tm_centeno_Lácar_Neuquén,produccion_tm_centeno_Pehuenches_Neuquén,produccion_tm_centeno_Zapala_Neuquén,produccion_tm_centeno_Picunches_Neuquén,produccion_tm_centeno_Picún Leufú_Neuquén,produccion_tm_centeno_Minas_Neuquén,produccion_tm_centeno_otros departamentos_Neuquén,produccion_tm_centeno_Ñorquín_Neuquén,rendimiento_kgxha_centeno_indefinido_Neuquén,rendimiento_kgxha_centeno_Aluminé_Neuquén,rendimiento_kgxha_centeno_Chos Malal_Neuquén,rendimiento_kgxha_centeno_Collón Curá_Neuquén,rendimiento_kgxha_centeno_Confluencia_Neuquén,rendimiento_kgxha_centeno_Huiliches_Neuquén,rendimiento_kgxha_centeno_Las Minas_Neuquén,rendimiento_kgxha_centeno_Los Lagos_Neuquén,rendimiento_kgxha_centeno_Lácar_Neuquén,rendimiento_kgxha_centeno_Pehuenches_Neuquén,rendimiento_kgxha_centeno_Zapala_Neuquén,rendimiento_kgxha_centeno_Picunches_Neuquén,rendimiento_kgxha_centeno_Picún Leufú_Neuquén,rendimiento_kgxha_centeno_Minas_Neuquén,rendimiento_kgxha_centeno_otros departamentos_Neuquén,rendimiento_kgxha_centeno_Ñorquín_Neuquén
1939-01-01,,25.0,,,18.0,,6.0,9.0,15.0,,2.0,,,,,,,25.0,,,18.0,,6.0,9.0,15.0,,2.0,,,,,,,11.0,,,13.0,,4.0,5.0,9.0,,1.0,,,,,,,440.0,,,722.0,,600.0,555.0,600.0,,500.0,,,,,
1940-01-01,,15.0,,,10.0,2.0,5.0,5.0,37.0,,1.0,,,,,,,7.0,,,6.0,2.0,3.0,3.0,29.0,,1.0,,,,,,,3.0,,,3.0,1.0,1.0,1.0,12.0,,1.0,,,,,,,428.0,,,500.0,500.0,334.0,334.0,414.0,,1000.0,,,,,
1941-01-01,,15.0,,,10.0,2.0,5.0,5.0,37.0,,1.0,,,,,,,15.0,,,10.0,2.0,5.0,5.0,37.0,,1.0,,,,,,,6.0,,,5.0,1.0,2.0,1.5,14.8,,0.7,,,,,,,400.0,,,500.0,500.0,400.0,300.0,400.0,,700.0,,,,,
1942-01-01,,45.0,,,15.0,61.0,5.0,25.0,67.0,,1.0,,,,,,,20.0,,,5.0,20.0,5.0,5.0,20.0,,0.0,,,,,,,8.0,,,3.0,10.0,3.0,3.0,10.0,,0.0,,,,,,,400.0,,,600.0,500.0,600.0,600.0,500.0,,0.0,,,,,
1943-01-01,,9.0,,,11.0,1.0,,,19.0,80.0,,16.0,,,,,,2.0,,,3.0,1.0,,,0.0,13.0,,3.0,,,,,,2.0,,,3.0,1.3,,,0.0,16.0,,3.0,,,,,,1000.0,,,1000.0,1300.0,,,0.0,1200.0,,1000.0,,,,
1944-01-01,,12.0,,10.0,7.0,,,5.0,10.0,50.0,,10.0,,,,,,12.0,,10.0,7.0,,,0.0,10.0,30.0,,10.0,,,,,,10.0,,10.0,5.0,,,0.0,10.0,25.0,,10.0,,,,,,833.0,,1000.0,714.0,,,0.0,1000.0,833.0,,1000.0,,,,
1945-01-01,,10.0,,10.0,10.0,,,10.0,15.0,30.0,,5.0,,,,,,0.0,,5.0,5.0,,,0.0,10.0,10.0,,0.0,,,,,,0.0,,5.0,6.0,,,0.0,10.0,10.0,,0.0,,,,,,0.0,,1000.0,1200.0,,,0.0,1000.0,1000.0,,0.0,,,,
1946-01-01,,10.0,,,10.0,,,,,30.0,,5.0,,,,,,2.0,,,2.0,,,,,2.0,,0.0,,,,,,1.0,,,1.0,,,,,1.0,,0.0,,,,,,500.0,,,500.0,,,,,500.0,,0.0,,,,
1947-01-01,,12.0,,,8.0,,,,,25.0,,5.0,,,,,,9.0,,,6.0,,,,,20.0,,5.0,,,,,,5.0,,,3.0,,,,,10.0,,4.0,,,,,,556.0,,,500.0,,,,,500.0,,800.0,,,,
1948-01-01,,10.0,,,10.0,,,,,25.0,,5.0,,,,,,5.0,,,5.0,,,,,10.0,,0.0,,,,,,3.0,,,3.0,,,,,7.0,,0.0,,,,,,600.0,,,600.0,,,,,700.0,,0.0,,,,
1949-01-01,,8.0,,,2.0,,,,,5.0,,5.0,,,,,,6.0,,,2.0,,,,,2.0,,0.0,,,,,,3.0,,,1.0,,,,,1.0,,0.0,,,,,,500.0,,,500.0,,,,,500.0,,0.0,,,,
1950-01-01,,10.0,,,10.0,,,,,30.0,,10.0,,,,,,5.0,,,5.0,,,,,10.0,,0.0,,,,,,3.0,,,3.0,,,,,6.0,,0.0,,,,,,600.0,,,600.0,,,,,600.0,,0.0,,,,
1951-01-01,,10.0,,,10.0,,,,,20.0,,10.0,,,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,
1952-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,180.0,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,767.0,,,,,,,,,
1963-01-01,,,,,,,200.0,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,700.0,,,,,,,,,
1964-01-01,,,,,,,250.0,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,667.0,,,,,,,,,
1965-01-01,,,,,,,287.0,,,,,,,,,,,,,,,,237.0,,,,,,,,,,,,,,,,237.0,,,,,,,,,,,,,,,,1000.0,,,,,,,,,
1966-01-01,,,,,350.0,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,733.0,,,,,,,,,,,
1967-01-01,,,,,,,350.0,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,667.0,,,,,,,,,
1968-01-01,,,,,,,320.0,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,520.0,,,,,,,,,
1969-01-01,,,,,,,,,,,,,,340.0,,,,,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,690.0,,
1970-01-01,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,170.0,,,,,,,,,,,,,,,,630.0,,
1971-01-01,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,743.0,,
1972-01-01,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,800.0,,
1973-01-01,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,900.0,,
1974-01-01,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,667.0,,
1975-01-01,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,733.0,,
1976-01-01,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,,,844.0,,
1977-01-01,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,714.0,,
1978-01-01,,,,,,,,,,,,,,230.0,,,,,,,,,,,,,,,,230.0,,,,,,,,,,,,,,,,230.0,,,,,,,,,,,,,,,,1000.0,,
1979-01-01,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,769.0,,
1980-01-01,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,667.0,,
1981-01-01,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,800.0,,
1982-01-01,,,,,,,,,,,,150.0,20.0,160.0,,,,,,,,,,,,,,0.0,20.0,60.0,,,,,,,,,,,,,,0.0,18.0,52.0,,,,,,,,,,,,,,0.0,900.0,867.0,,
1983-01-01,,,,,,,,,,,,80.0,10.0,140.0,,,,,,,,,,,,,,0.0,10.0,40.0,,,,,,,,,,,,,,0.0,8.0,32.0,,,,,,,,,,,,,,0.0,800.0,800.0,,
1984-01-01,,,,,,,,,,,,60.0,,100.0,,,,,,,,,,,,,,30.0,,10.0,,,,,,,,,,,,,,25.0,,8.0,,,,,,,,,,,,,,833.0,,800.0,,
1985-01-01,,,,,,,,,,70.0,,,,100.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,
1986-01-01,,,,,,,,,,70.0,,,,120.0,,,,,,,,,,,,20.0,,,,20.0,,,,,,,,,,,,19.0,,,,16.0,,,,,,,,,,,,950.0,,,,800.0,,
1987-01-01,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,1000.0,
1988-01-01,,,,,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,10.0,,0.0,,,,,,,,,,,,,,10.0,,0.0,,,,,,,,,,,,,,1000.0,,0.0
1989-01-01,,,,,,,,,,,,80.0,,70.0,,,,,,,,,,,,,,10.0,,10.0,,,,,,,,,,,,,,7.0,,8.0,,,,,,,,,,,,,,700.0,,800.0,,
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
